year,month,cwd
1995,6,56.91999817
1995,3,22.31999969
1995,5,46.34999847
1995,11,32.09999847
1995,10,69.09999847
1995,9,112.5999985
1996,4,44.27999878
1996,8,152.5
1996,12,15.96000004
1996,2,20.80999947
1996,1,14.21000004
1996,7,133.7899933
1996,6,87.01000214
1996,3,29.80999947
1996,5,48.75
1996,11,25.11000061
1996,10,60.09000015
1996,9,109.0999985
1997,4,57.65000153
1997,8,146.6999969
1997,12,16.35000038
1997,2,23.52000046
1997,1,13.85999966
1997,7,102.5
1997,6,58.70999908
1997,3,36.15999985
1997,5,76.87000275
1997,11,24.76000023
1997,10,59.91999817
1997,9,93.93000031
1998,4,40.50999832
1998,8,135.0700073
1998,12,15.98999977
1998,2,18.02000046
1998,1,13.57999992
1998,7,91.93000031
1998,6,56.68999863
1998,3,30.70999908
1998,5,42.45000076
1998,11,22.47999954
1998,10,54.41999817
1998,9,109.5
1999,4,54.11000061
1999,8,144.8000031
1999,12,17.76000023
1999,2,18.87999916
1999,1,14.89000034
1999,7,125.8300018
1999,6,84.37000275
1999,3,31.5
1999,5,71.45999908
1999,11,26.98999977
1999,10,72.19999695
1999,9,107.5999985
2000,4,59.61000061
2000,8,150.5
2000,12,18.11000061
2000,2,19.94000053
2000,1,13.93000031
2000,7,124.4700012
2000,6,89.86000061
2000,3,34.02999878
2000,5,64
2000,11,24.04000092
2000,10,54.09000015
2000,9,108.1999969
2001,4,52.49000168
2001,8,152.3000031
2001,12,14.94999981
2001,2,21.39999962
2001,1,15.85000038
2001,7,173
2001,6,115.25
2001,3,36.15999985
2001,5,80.70999908
2001,11,25.59000015
2001,10,71.40000153
2001,9,113.3000031
2002,4,59.11999893
2002,8,150.3000031
2002,12,15.36999989
2002,2,24.57999992
2002,1,15.06999969
2002,7,153.9299927
2002,6,89.26000214
2002,3,32.90000153
2002,5,71.77999878
2002,11,31.39999962
2002,10,67.69999695
2002,9,112.8000031
2003,4,38.50999832
2003,8,147.3000031
2003,12,15.46000004
2003,2,23.21999931
2003,1,17.62999916
2003,7,155.2400055
2003,6,90.02999878
