"","Population","treatment","compound type","compound","value"
"536","TFC","C","GSL","Allyl",262.551205
"537","TFC","C","GSL","X5MSO",5.2149775
"538","TFC","C","GSL","Butenyl",92.7874075
"539","TFC","C","GSL","X3MT",5.42005
"540","TFC","C","GSL","MSOO",0
"541","TFC","C","GSL","OHI3M",0
"542","TFC","C","GSL","X4MT",2.8088575
"543","TFC","C","GSL","Flavonol16",21.531645
"544","TFC","C","GSL","I3M",105.856
"545","TFC","C","GSL","Flavonol17",0
"546","TFC","C","GSL","Flavonol18",55.91688
"547","TFC","C","GSL","Indole",20.0674
"548","TFC","C","GSL","totalaliphatic",446.8609525
"549","TFC","C","GSL","totalindole",125.9234
"550","TFC","C","GSL","totalGSL",572.7843525
"551","TFC","C","GSL","logindoles",2.09017306494552
"552","TFC","CW","GSL","X3MSO",17.8206433333333
"553","TFC","CW","GSL","OHAlkenyl",0
"554","TFC","CW","GSL","X4MSO",25.0704116666667
